path,predicted,correct,score
/home/k/retail/data/svhn/test/7834.png,14,14,-0.155324
/home/k/retail/data/svhn/test/4431.png,7,7,-0.003380
/home/k/retail/data/svhn/test/11483.png,37,228,-2.826730
/home/k/retail/data/svhn/test/286.png,25,25,-0.035371
/home/k/retail/data/svhn/test/6294.png,235,235,-0.006491
/home/k/retail/data/svhn/test/7754.png,5,5,-1.023441
/home/k/retail/data/svhn/test/3792.png,125,5,-1.060984
/home/k/retail/data/svhn/test/257.png,343,343,-0.938722
/home/k/retail/data/svhn/test/870.png,10,10,-0.173707
/home/k/retail/data/svhn/test/8416.png,19,19,-0.001243
/home/k/retail/data/svhn/test/11420.png,8,8,-0.001626
/home/k/retail/data/svhn/test/9943.png,22,22,-0.026164
/home/k/retail/data/svhn/test/10175.png,27,21,-0.665200
/home/k/retail/data/svhn/test/7588.png,45,88,-2.714445
/home/k/retail/data/svhn/test/2500.png,28,18,-2.043611
/home/k/retail/data/svhn/test/7412.png,31,31,-0.000276
/home/k/retail/data/svhn/test/13006.png,17,47,-2.433466
/home/k/retail/data/svhn/test/6007.png,30,36,-0.977394
/home/k/retail/data/svhn/test/2184.png,144,144,-0.001669
/home/k/retail/data/svhn/test/6005.png,37,37,-0.000199
/home/k/retail/data/svhn/test/6846.png,56,56,-0.005254
/home/k/retail/data/svhn/test/7147.png,97,97,-0.313307
/home/k/retail/data/svhn/test/11074.png,19,19,-0.000453
/home/k/retail/data/svhn/test/5600.png,59,59,-0.048094
/home/k/retail/data/svhn/test/3780.png,31,37,-0.277365
/home/k/retail/data/svhn/test/2852.png,71,244,-0.750073
/home/k/retail/data/svhn/test/11996.png,72,12,-0.384353
/home/k/retail/data/svhn/test/763.png,132,132,-0.065793
/home/k/retail/data/svhn/test/12064.png,76,76,-0.005016
/home/k/retail/data/svhn/test/7238.png,315,315,-0.011121
/home/k/retail/data/svhn/test/8704.png,21,21,-0.130122
/home/k/retail/data/svhn/test/9266.png,37,37,-0.025157
/home/k/retail/data/svhn/test/11055.png,7,7,-0.000742
/home/k/retail/data/svhn/test/10780.png,12,12,-0.004561
/home/k/retail/data/svhn/test/8659.png,3,31,-0.206510
/home/k/retail/data/svhn/test/1911.png,141,141,-0.002955
/home/k/retail/data/svhn/test/260.png,102,102,-1.440556
/home/k/retail/data/svhn/test/12757.png,25,25,-0.000344
/home/k/retail/data/svhn/test/8754.png,11,11,-0.069272
/home/k/retail/data/svhn/test/10846.png,92,92,-0.000385
/home/k/retail/data/svhn/test/7856.png,71,28,-1.399999
/home/k/retail/data/svhn/test/5573.png,44,44,-0.000500
/home/k/retail/data/svhn/test/6148.png,27,27,-0.002901
/home/k/retail/data/svhn/test/4451.png,2,2,-0.003456
/home/k/retail/data/svhn/test/10390.png,112,112,-0.001111
/home/k/retail/data/svhn/test/9896.png,8,8,-0.000116
/home/k/retail/data/svhn/test/12169.png,7,7,-0.026217
/home/k/retail/data/svhn/test/176.png,41,41,-0.000462
/home/k/retail/data/svhn/test/10111.png,42,43,-0.062334
/home/k/retail/data/svhn/test/9030.png,1338,1888,-0.145463
/home/k/retail/data/svhn/test/3183.png,55,15,-0.843794
/home/k/retail/data/svhn/test/3839.png,534,534,-0.046654
/home/k/retail/data/svhn/test/12792.png,808,868,-1.922071
/home/k/retail/data/svhn/test/2799.png,22,23,-0.635339
/home/k/retail/data/svhn/test/7069.png,99,416,-1.790907
/home/k/retail/data/svhn/test/8432.png,2,2,-0.001118
/home/k/retail/data/svhn/test/11900.png,32,32,-0.065291
/home/k/retail/data/svhn/test/10431.png,15,13,-0.102476
/home/k/retail/data/svhn/test/7741.png,479,479,-0.001283
/home/k/retail/data/svhn/test/7136.png,62,62,-0.000201
/home/k/retail/data/svhn/test/12249.png,3,50,-1.158577
/home/k/retail/data/svhn/test/12724.png,38,33,-0.572085
/home/k/retail/data/svhn/test/481.png,123,2,-0.845727
/home/k/retail/data/svhn/test/551.png,34,34,-0.000818
/home/k/retail/data/svhn/test/12300.png,8,42,-0.759596
/home/k/retail/data/svhn/test/12986.png,8,8,-0.436018
/home/k/retail/data/svhn/test/12813.png,50,50,-0.007455
/home/k/retail/data/svhn/test/3006.png,18,18,-0.029035
/home/k/retail/data/svhn/test/6239.png,4,41,-0.343451
/home/k/retail/data/svhn/test/5152.png,7,7,-0.001374
/home/k/retail/data/svhn/test/11781.png,96,96,-0.113455
/home/k/retail/data/svhn/test/12538.png,88,88,-0.037221
/home/k/retail/data/svhn/test/10628.png,55,55,-0.356998
/home/k/retail/data/svhn/test/12164.png,65,66,-0.035170
/home/k/retail/data/svhn/test/10776.png,311,311,-0.040402
/home/k/retail/data/svhn/test/6365.png,38,38,-0.000728
/home/k/retail/data/svhn/test/8303.png,53,53,-0.000771
/home/k/retail/data/svhn/test/3350.png,39,39,-0.326962
/home/k/retail/data/svhn/test/11888.png,49,149,-2.195212
/home/k/retail/data/svhn/test/11544.png,61,61,-1.825603
/home/k/retail/data/svhn/test/4304.png,9,9,-0.001418
/home/k/retail/data/svhn/test/1697.png,57,57,-0.000758
/home/k/retail/data/svhn/test/5861.png,30,30,-0.001117
/home/k/retail/data/svhn/test/169.png,22,22,-0.030297
/home/k/retail/data/svhn/test/8341.png,55,55,-0.081200
/home/k/retail/data/svhn/test/2011.png,3,3,-0.647723
/home/k/retail/data/svhn/test/7021.png,9,9,-0.003057
/home/k/retail/data/svhn/test/4138.png,55,55,-0.793297
/home/k/retail/data/svhn/test/7820.png,129,129,-0.000452
/home/k/retail/data/svhn/test/1207.png,10,20,-0.880979
/home/k/retail/data/svhn/test/5969.png,41,4,-1.939510
/home/k/retail/data/svhn/test/8077.png,283,283,-0.125768
/home/k/retail/data/svhn/test/5568.png,3,3,-0.099723
/home/k/retail/data/svhn/test/7539.png,43,43,-0.000261
/home/k/retail/data/svhn/test/11416.png,3,3,-1.793782
/home/k/retail/data/svhn/test/933.png,7,7,-0.000406
/home/k/retail/data/svhn/test/1528.png,187,187,-0.086602
/home/k/retail/data/svhn/test/11621.png,4,4,-0.000647
/home/k/retail/data/svhn/test/3158.png,41,14,-1.963242
/home/k/retail/data/svhn/test/6165.png,1,11,-0.053024
/home/k/retail/data/svhn/test/7781.png,1,1,-0.000621
/home/k/retail/data/svhn/test/3173.png,289,289,-0.000379
/home/k/retail/data/svhn/test/1483.png,6,6,-0.002748
/home/k/retail/data/svhn/test/2789.png,9,9,-0.002079
/home/k/retail/data/svhn/test/11155.png,41,41,-0.000361
/home/k/retail/data/svhn/test/11836.png,40,40,-0.036023
/home/k/retail/data/svhn/test/12051.png,43,54,-2.153175
/home/k/retail/data/svhn/test/9642.png,331,331,-0.001395
/home/k/retail/data/svhn/test/2247.png,1,17,-0.124592
/home/k/retail/data/svhn/test/7140.png,40,40,-0.000072
/home/k/retail/data/svhn/test/3346.png,6,9,-0.042565
/home/k/retail/data/svhn/test/10614.png,18,18,-0.000202
/home/k/retail/data/svhn/test/10738.png,9,9,-0.018920
/home/k/retail/data/svhn/test/3319.png,3821,3621,-0.574390
/home/k/retail/data/svhn/test/9146.png,10,10,-0.000518
/home/k/retail/data/svhn/test/8653.png,3,3,-0.000080
/home/k/retail/data/svhn/test/1011.png,40,9,-1.053329
/home/k/retail/data/svhn/test/7872.png,174,174,-0.000143
/home/k/retail/data/svhn/test/9164.png,42,42,-0.081427
/home/k/retail/data/svhn/test/8687.png,106,3,-2.025489
/home/k/retail/data/svhn/test/3434.png,3,3,-0.031439
/home/k/retail/data/svhn/test/1983.png,38,38,-0.000426
/home/k/retail/data/svhn/test/8545.png,20,20,-0.000312
/home/k/retail/data/svhn/test/10448.png,71,71,-0.048461
/home/k/retail/data/svhn/test/1107.png,341,341,-0.000689
/home/k/retail/data/svhn/test/12714.png,1292,22,-0.327490
/home/k/retail/data/svhn/test/2216.png,30,30,-0.000365
/home/k/retail/data/svhn/test/4894.png,18,18,-0.000382
/home/k/retail/data/svhn/test/4491.png,19,19,-0.001171
/home/k/retail/data/svhn/test/7294.png,52,52,-0.002316
/home/k/retail/data/svhn/test/1309.png,3,3,-0.001914
/home/k/retail/data/svhn/test/12378.png,25,25,-0.001582
/home/k/retail/data/svhn/test/3373.png,45,4,-0.239536
/home/k/retail/data/svhn/test/12461.png,36,36,-0.198601
/home/k/retail/data/svhn/test/11638.png,28,28,-0.004395
/home/k/retail/data/svhn/test/10341.png,8,61,-1.093013
/home/k/retail/data/svhn/test/5038.png,61,61,-0.251565
/home/k/retail/data/svhn/test/2074.png,83,83,-1.353001
/home/k/retail/data/svhn/test/3407.png,29,29,-0.185105
/home/k/retail/data/svhn/test/5509.png,26,26,-0.754326
/home/k/retail/data/svhn/test/7059.png,38,38,-0.000600
/home/k/retail/data/svhn/test/11661.png,299,299,-0.000750
/home/k/retail/data/svhn/test/12652.png,22,22,-0.000160
/home/k/retail/data/svhn/test/5464.png,20,20,-0.001365
/home/k/retail/data/svhn/test/12318.png,14,14,-0.001975
/home/k/retail/data/svhn/test/11272.png,90,90,-0.000908
/home/k/retail/data/svhn/test/9552.png,9,9,-0.294544
/home/k/retail/data/svhn/test/12722.png,87,82,-0.004930
/home/k/retail/data/svhn/test/6272.png,150,156,-0.185067
/home/k/retail/data/svhn/test/12985.png,52,52,-0.000869
/home/k/retail/data/svhn/test/9147.png,10,1,-0.558432
/home/k/retail/data/svhn/test/11998.png,17,11,-0.333417
/home/k/retail/data/svhn/test/5944.png,2,2,-0.003740
/home/k/retail/data/svhn/test/6971.png,19,19,-0.000905
/home/k/retail/data/svhn/test/2124.png,96,14,-3.453568
/home/k/retail/data/svhn/test/10396.png,15,15,-0.991934
/home/k/retail/data/svhn/test/4309.png,33,55,-0.502731
/home/k/retail/data/svhn/test/7650.png,19,15,-0.975937
/home/k/retail/data/svhn/test/4060.png,33,25,-1.933575
/home/k/retail/data/svhn/test/13000.png,73,1,-0.097463
/home/k/retail/data/svhn/test/372.png,38,38,-0.221661
/home/k/retail/data/svhn/test/10377.png,17,16,-2.014475
/home/k/retail/data/svhn/test/6883.png,43,29,-0.428218
/home/k/retail/data/svhn/test/12939.png,101,101,-0.001436
/home/k/retail/data/svhn/test/841.png,3,32,-1.954317
/home/k/retail/data/svhn/test/9787.png,2,2,-0.137647
/home/k/retail/data/svhn/test/1565.png,205,205,-0.046573
/home/k/retail/data/svhn/test/8071.png,154,154,-0.013833
/home/k/retail/data/svhn/test/2423.png,18,18,-0.000196
/home/k/retail/data/svhn/test/9157.png,7,7,-0.001744
/home/k/retail/data/svhn/test/10661.png,359,359,-0.001636
/home/k/retail/data/svhn/test/1067.png,58,5,-0.676189
/home/k/retail/data/svhn/test/11769.png,65,65,-0.005301
/home/k/retail/data/svhn/test/10834.png,15,15,-1.080859
/home/k/retail/data/svhn/test/5989.png,43,43,-0.001180
/home/k/retail/data/svhn/test/10546.png,8,8,-0.643803
/home/k/retail/data/svhn/test/1403.png,137,137,-0.000183
/home/k/retail/data/svhn/test/9961.png,88,88,-0.004412
/home/k/retail/data/svhn/test/1519.png,28,28,-0.000486
/home/k/retail/data/svhn/test/9210.png,381,297,-1.204102
/home/k/retail/data/svhn/test/11614.png,49,49,-0.001369
/home/k/retail/data/svhn/test/7263.png,7,7,-0.003113
/home/k/retail/data/svhn/test/11050.png,8,8,-0.005076
/home/k/retail/data/svhn/test/38.png,35,35,-0.456909
/home/k/retail/data/svhn/test/9992.png,4,4,-0.001784
/home/k/retail/data/svhn/test/8024.png,17,37,-0.010012
/home/k/retail/data/svhn/test/1787.png,2,12,-0.224199
/home/k/retail/data/svhn/test/8617.png,47,47,-0.016866
/home/k/retail/data/svhn/test/8113.png,40,40,-0.002697
/home/k/retail/data/svhn/test/355.png,17,17,-0.000261
/home/k/retail/data/svhn/test/7275.png,11,11,-0.000370
/home/k/retail/data/svhn/test/4156.png,4,43,-0.198549
/home/k/retail/data/svhn/test/12229.png,5,5,-0.019786
